# nside 64 NESTED
pix_id,ra_deg,dec_deg,probability
43203,196.76470588235296,-52.02972741646417,2.023165180040552e-05
43204,198.52941176470588,-52.02972741646417,2.7009906421880402e-05
43205,199.90384615384616,-51.25580694880492,5.065903952447039e-05
43206,198.1730769230769,-51.25580694880492,5.103784562191486e-05
43207,199.52830188679243,-50.48004426244296,7.063489411504782e-05
43208,195.0,-52.02972741646417,2.3486004076612046e-05
43209,196.44230769230768,-51.25580694880492,4.948763992699087e-05
43210,194.71153846153845,-51.25580694880492,4.4509912303873895e-05
43211,196.13207547169813,-50.48004426244296,6.938245786258165e-05
43212,197.83018867924528,-50.48004426244296,6.98061113425516e-05
43213,199.16666666666666,-49.702390326630706,0.00010771019090763089
43214,197.5,-49.702390326630706,0.00010626115028420528
43215,198.8181818181818,-48.92279516024732,0.00013674296995526907
43216,201.22641509433961,-50.48004426244296,7.157673854129418e-05
43217,202.5,-49.702390326630706,0.00010619170663833103
43218,200.83333333333334,-49.702390326630706,0.00010752697316896017
43219,202.0909090909091,-48.92279516024732,0.00013647420659588464
43220,203.72727272727272,-48.92279516024732,0.00013549139317308955
43221,204.91071428571428,-48.1412077943603,0.00019402383766250136
43222,203.30357142857144,-48.1412077943603,0.00020433677499846244
43223,204.4736842105263,-47.357576233198984,0.00029356077487891256
43224,200.45454545454544,-48.92279516024732,0.0001364793655550237
43225,201.69642857142858,-48.1412077943603,0.00021230220586847742
43226,200.0892857142857,-48.1412077943603,0.00021636380061068215
43227,201.31578947368422,-47.357576233198984,0.0003359817519530301
43228,202.89473684210526,-47.357576233198984,0.00031669192028522543
43229,204.05172413793105,-46.5718474134496,0.000468742912377052
43230,202.49999999999997,-46.5718474134496,0.000502790470456884
43231,203.6440677966102,-45.783967161775024,0.0007242451074168659
43232,194.43396226415092,-50.48004426244296,6.914319352077213e-05
43233,195.83333333333334,-49.702390326630706,0.00010288934957675252
43234,194.16666666666666,-49.702390326630706,9.782935900492667e-05
43235,195.54545454545453,-48.92279516024732,0.00014284872664313975
43236,197.18181818181822,-48.92279516024732,0.00013868184926376154
43237,198.48214285714286,-48.1412077943603,0.00021651631300927042
43238,196.875,-48.1412077943603,0.00021477686973842393
43239,198.1578947368421,-47.357576233198984,0.0003476618421882674
43240,193.9090909090909,-48.92279516024732,0.00014831692596045998
43241,195.26785714285714,-48.1412077943603,0.00021411272389058726
43242,193.6607142857143,-48.1412077943603,0.00021645979740534494
43243,194.99999999999997,-47.357576233198984,0.0003311699523448429
43244,196.57894736842104,-47.357576233198984,0.0003404116785734305
43245,197.8448275862069,-46.5718474134496,0.0005554239836404715
43246,196.29310344827587,-46.5718474134496,0.0005402396309509516
43247,197.54237288135593,-45.783967161775024,0.000842964165790747
43248,199.73684210526315,-47.357576233198984,0.0003469686207283007
43249,200.94827586206895,-46.5718474134496,0.0005331165160715127
43250,199.3965517241379,-46.5718474134496,0.0005526686710343574
43251,200.59322033898306,-45.783967161775024,0.0007932171956141392
43252,202.1186440677966,-45.783967161775024,0.0007576366610716162
43253,203.24999999999997,-44.99388015045713,0.001023511439480709
43254,201.75,-44.99388015045713,0.0010363477012728568
43255,202.8688524590164,-44.20152985105139,0.0012573392551668194
43256,199.0677966101695,-45.783967161775024,0.0008246340080649347
43257,200.25,-44.99388015045713,0.0010570464025288658
43258,198.75,-44.99388015045713,0.0010830832145748224
43259,199.91803278688525,-44.20152985105139,0.0012347536959463803
43260,201.39344262295083,-44.20152985105139,0.0012428625359175148
43261,202.5,-43.40685848593699,0.0011898904513585053
43262,201.0483870967742,-43.40685848593699,0.0011774400784522658
43263,202.14285714285717,-42.60980697763762,0.0009176554340749763
43264,210.30612244897958,-53.57223328098857,1.8170057775094503e-05
43265,211.5,-52.801853781730614,1.8170057775094503e-05
43266,209.70000000000002,-52.801853781730614,1.8170057775094503e-05
43267,210.88235294117646,-52.02972741646417,1.8170057775094503e-05
